userId,movieId,rating,timestamp
193578,648,4.0,851538118
228590,2268,3.0,1009245910
210558,648,4.0,1225177426
12837,47261,3.5,1324845097
87243,648,3.0,1480122484
31470,7234,5.0,1145464876
35953,69406,4.0,1499253614
167477,3168,5.0,1302994088
264688,2687,5.0,1007271931
84430,4975,4.0,1044560706
197572,1363,2.0,876867827
231310,648,3.0,853502098
41967,1253,1.0,1240346923
74716,2312,4.0,1010960288
178040,6535,4.5,1070047226
241453,48591,5.0,1212588080
181877,253,1.5,1248033735
118946,2687,4.0,1134317521
6059,648,3.0,940068222
100689,648,3.0,1158289860
5029,648,3.0,849718322
245395,2087,3.0,1313086056
72255,2268,1.5,1148235326
42126,2734,4.0,956497587
219353,253,2.5,1499877606
81483,69406,4.0,1477353918
5378,1588,4.0,975437057
259374,67255,4.5,1422672592
81157,31694,3.5,1150650394
40456,253,3.0,841157840
168385,67255,4.0,1447089095
204793,648,2.5,1190072906
257855,709,4.0,849562782
30709,4975,3.0,1178620760
42957,6283,5.0,1305067882
119807,2087,2.5,1445788111
45007,2268,2.0,949626227
12715,2087,3.0,1002134165
40912,8968,4.0,1206040564
52253,253,4.0,1218571695
110992,2268,5.0,1052461171
7885,483,2.0,963998163
65503,1686,1.0,879481307
13531,648,3.0,853528127
262347,69406,1.0,1498938975
270551,4975,3.0,1142872594
9812,4975,3.5,1176575453
141464,709,4.0,1028730953
144728,253,3.0,835923678
55356,2087,4.0,1368392226
10301,1588,4.5,1317650147
67485,1253,3.5,1344257623
70286,1253,2.5,1233538865
156751,253,3.0,841229202
51987,253,2.0,1484283893
68962,709,3.0,1025998480
201300,4975,3.0,1008634197
188841,253,2.5,1294603360
128388,253,3.0,835744599
112056,648,3.0,863092608
202800,648,3.0,833218863
21839,648,3.5,1065227802
17739,253,3.0,847339510
235566,648,3.0,856583130
42721,1686,4.0,954193001
150921,6182,4.0,1439179261
11328,43899,3.0,1355800216
91899,253,4.0,1111475184
167097,42725,4.0,1235088431
38068,648,3.0,967343662
81715,648,3.0,1119121892
121365,648,3.0,843914427
148802,2268,5.0,1285882131
93549,2312,3.0,938455678
8065,2268,2.0,1042684466
23418,648,2.5,1271759927
33042,1253,4.0,846925712
89036,1363,2.5,1124177614
154329,253,1.0,834504272
231008,6283,4.5,1132259198
24976,69406,1.5,1257313080
172359,4975,3.5,1239311088
12135,1253,5.0,1127368704
227341,2268,0.5,1074722928
270326,648,2.5,1212939013
87958,69406,3.5,1480092453
241220,253,4.0,848998356
181409,2087,3.0,1331154763
247037,253,3.0,836340650
207630,2087,4.5,1461327377
17901,6283,4.5,1118406930
101082,253,4.0,1041145289
21229,2687,4.0,1095876205
12528,253,4.0,991925298
6320,67255,4.0,1390080927
